Regrid Parcel Record Schema,,,,,,Current version:,15.0,
Column Name,Shapefile Name,Type,Premium,Standard,Examples,Description,First Seen,Seq
ogc_fid,,serial primary key,✔,✔,,"object ID - Not unique across counties, not persistant over time, use 'll_uuid' preferably below.",1.0,1
geoid,,text,✔,✔,06205,"A 5 digit county id number, consisting of the 2 digit FIPS state code + the 3 digit FIPS county code.",1.0,2
parcelnumb,,text,✔,✔,2004940,Parcel ID/Parcel Number,1.0,3
parcelnumb_no_formatting,parcelnu_1,text,✔,✔,XH0118ROAD00,"This is the county-provided 'parcelnumb' schema attribute, but has all non A-Z and 0-9 characters removed. It is intended to make searching and matching on county parcel number, PIN, or APN easier as formatting and spacing can vary. Please note that sometimes formatting and spacing is required to make parcel numbers unique and as a result this attribute is more likely to have duplicate parcel numbers, it should be used as a last resort for matching.",10.0,4
state_parcelnumb,state_parc,text,✔,✔,22051-0600003127,Statewide parcel identification number. Collected where available from states that provide a statewide parcel ID.,13.0,5
account_number,account_nu,text,✔,✔,01234X,The assessor or tax collector's account identification number for a property.,13.0,6
tax_id,,text,✔,✔,87642-2002,The assessor or tax collector's tax identification number for a property.,13.0,7
alt_parcelnumb1,alt_parcel,text,✔,✔,RA0580030000,"A county-provided parcel id number that is not considered to be the primary parcel id number used by the county, but is also used as a parcel id in some contexts. These could be previously used parcel numbers, map numbers, online system id numbers, etc. It is provided in this schema attribute for easy, consistent access, but is also duplicated as a county specific custom column to retain its original, county-provided attribute name.",10.0,8
alt_parcelnumb2,alt_parc_1,text,✔,✔,RA0580030000,"A county-provided parcel id number that is not considered to be the primary parcel id number used by the county, but is also used as a parcel id in some contexts. These could be previously used parcel numbers, map numbers, online system id numbers, etc. It is provided in this schema attribute for easy, consistent access, but is also duplicated as a county specific custom column to retain its original, county-provided attribute name. ",10.0,9
alt_parcelnumb3,alt_parc_2,text,✔,✔,RA0580030000,"A county-provided parcel id number that is not considered to be the primary parcel id number used by the county, but is also used as a parcel id in some contexts. These could be previously used parcel numbers, map numbers, online system id numbers, etc. It is provided in this schema attribute for easy, consistent access, but is also duplicated as a county specific custom column to retain its original, county-provided attribute name. ",10.0,10
usecode,,text,✔,✔,104,Parcel Use Code,1.0,11
